"ID","MCP_CLIENT","MODEL","END_POINT_TYPE","END_POINT_NAME","LOG_MESSAGE","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY"
38,Trae AI,Claude 4 Sonnet,tool,connect,"Connect to PROTOCOLO_USER",2025-09-19 09:03:25.693,PROTOCOLO_USER,2025-09-19 09:03:25.693,PROTOCOLO_USER
39,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ * FROM (SELECT * FROM usuarios ORDER BY id) WHERE ROWNUM <= 10",2025-09-19 09:03:31.298,PROTOCOLO_USER,2025-09-19 09:03:31.298,PROTOCOLO_USER
40,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ * FROM vinculos_funcionais ORDER BY codigo",2025-09-19 09:03:38.466,PROTOCOLO_USER,2025-09-19 09:03:38.466,PROTOCOLO_USER
41,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ table_name FROM user_tables ORDER BY table_name",2025-09-19 09:03:42.477,PROTOCOLO_USER,2025-09-19 09:03:42.477,PROTOCOLO_USER
42,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ column_name, data_type, nullable FROM user_tab_columns WHERE table_name = 'USUARIOS' ORDER BY column_id",2025-09-19 09:03:45.845,PROTOCOLO_USER,2025-09-19 09:03:45.845,PROTOCOLO_USER
43,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ COLUMN_NAME, DATA_TYPE, NULLABLE FROM USER_TAB_COLUMNS WHERE TABLE_NAME = 'USUARIOS' ORDER BY COLUMN_ID",2025-09-19 09:10:52.062,PROTOCOLO_USER,2025-09-19 09:10:52.062,PROTOCOLO_USER
44,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, MATRICULA, VINCULO_FUNCIONAL, ROLE, DEPARTMENT FROM USUARIOS WHERE ROWNUM <= 5",2025-09-19 09:10:56.591,PROTOCOLO_USER,2025-09-19 09:10:56.591,PROTOCOLO_USER
45,Trae,claude-sonnet-4,tool,run-sql,"UPDATE /* LLM in use is claude-sonnet-4 */ USUARIOS SET EMAIL = REPLACE(EMAIL, '@fazenda.sp.gov.br', '@sefaz.to.gov.br') WHERE EMAIL LIKE '%@fazenda.sp.gov.br%'",2025-09-19 09:21:52.461,PROTOCOLO_USER,2025-09-19 09:21:52.461,PROTOCOLO_USER
46,Trae,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NOME, EMAIL FROM USUARIOS WHERE EMAIL LIKE '%@sefaz.to.gov.br%' ORDER BY ID",2025-09-19 09:21:57.812,PROTOCOLO_USER,2025-09-19 09:21:57.812,PROTOCOLO_USER
47,Trae,claude-sonnet-4,tool,run-sql,"DESCRIBE /* LLM in use is claude-sonnet-4 */ USUARIOS",2025-09-19 09:22:02.472,PROTOCOLO_USER,2025-09-19 09:22:02.472,PROTOCOLO_USER
48,Trae,claude-sonnet-4,tool,run-sqlcl,"DESC USUARIOS",2025-09-19 09:22:07.568,PROTOCOLO_USER,2025-09-19 09:22:07.568,PROTOCOLO_USER
49,Trae,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL FROM USUARIOS WHERE EMAIL LIKE '%@sefaz.to.gov.br%' ORDER BY ID",2025-09-19 09:22:12.647,PROTOCOLO_USER,2025-09-19 09:22:12.647,PROTOCOLO_USER
50,Trae,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL FROM USUARIOS WHERE EMAIL LIKE '%@fazenda.sp.gov.br%' ORDER BY ID",2025-09-19 09:22:17.294,PROTOCOLO_USER,2025-09-19 09:22:17.294,PROTOCOLO_USER
51,Trae,claude-sonnet-4,tool,run-sqlcl,"COMMIT",2025-09-19 09:23:40.144,PROTOCOLO_USER,2025-09-19 09:23:40.144,PROTOCOLO_USER
52,Trae,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL FROM USUARIOS WHERE EMAIL LIKE '%@sefaz.to.gov.br%' ORDER BY ID",2025-09-19 09:23:45.381,PROTOCOLO_USER,2025-09-19 09:23:45.381,PROTOCOLO_USER
53,Trae,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ COUNT(*) as TOTAL_USUARIOS, SUM(CASE WHEN EMAIL LIKE '%@sefaz.to.gov.br%' THEN 1 ELSE 0 END) as COM_NOVO_DOMINIO, SUM(CASE WHEN EMAIL LIKE '%@fazenda.sp.gov.br%' THEN 1 ELSE 0 END) as COM_DOMINIO_ANTIGO FROM USUARIOS",2025-09-19 09:23:50.926,PROTOCOLO_USER,2025-09-19 09:23:50.926,PROTOCOLO_USER
54,Trae,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, CREATED_AT FROM USUARIOS WHERE ROWNUM <= 3 ORDER BY ID",2025-09-19 09:25:26.840,PROTOCOLO_USER,2025-09-19 09:25:26.840,PROTOCOLO_USER
55,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, CREATED_AT FROM USUARIOS WHERE ROWNUM <= 1",2025-09-19 09:26:36.701,PROTOCOLO_USER,2025-09-19 09:26:36.701,PROTOCOLO_USER
56,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, CREATED_AT FROM USERS WHERE ROWNUM <= 3",2025-09-19 09:31:27.613,PROTOCOLO_USER,2025-09-19 09:31:27.613,PROTOCOLO_USER
57,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ table_name FROM user_tables WHERE UPPER(table_name) LIKE '%USER%'",2025-09-19 09:31:32.006,PROTOCOLO_USER,2025-09-19 09:31:32.006,PROTOCOLO_USER
58,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ table_name FROM user_tables ORDER BY table_name",2025-09-19 09:31:35.996,PROTOCOLO_USER,2025-09-19 09:31:35.996,PROTOCOLO_USER
59,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NOME, EMAIL, CREATED_AT FROM USUARIOS WHERE ROWNUM <= 3",2025-09-19 09:31:40.002,PROTOCOLO_USER,2025-09-19 09:31:40.002,PROTOCOLO_USER
60,Trae AI,claude-sonnet-4,tool,run-sql,"DESCRIBE /* LLM in use is claude-sonnet-4 */ USUARIOS",2025-09-19 09:31:43.710,PROTOCOLO_USER,2025-09-19 09:31:43.710,PROTOCOLO_USER
61,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ column_name, data_type FROM user_tab_columns WHERE table_name = 'USUARIOS' ORDER BY column_id",2025-09-19 09:31:48.181,PROTOCOLO_USER,2025-09-19 09:31:48.181,PROTOCOLO_USER
62,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, CREATED_AT FROM USUARIOS WHERE ROWNUM <= 3",2025-09-19 09:31:52.658,PROTOCOLO_USER,2025-09-19 09:31:52.658,PROTOCOLO_USER
63,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, TO_CHAR(CREATED_AT, 'DD/MM/YYYY HH24:MI:SS') as CREATED_AT_FORMATTED FROM USUARIOS WHERE ROWNUM <= 3",2025-09-19 09:33:28.384,PROTOCOLO_USER,2025-09-19 09:33:28.384,PROTOCOLO_USER
64,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, CODIGO_SETOR, ORGAO, SETOR, LOTACAO, MUNICIPIO_LOTACAO, ENDERECO, TELEFONE, EMAIL, ATIVO FROM SETORES ORDER BY ID",2025-09-19 09:38:43.672,PROTOCOLO_USER,2025-09-19 09:38:43.672,PROTOCOLO_USER
65,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, CODIGO_SETOR, ORGAO, SETOR, LOTACAO, MUNICIPIO_LOTACAO, ATIVO FROM SETORES ORDER BY ID",2025-09-19 09:38:48.453,PROTOCOLO_USER,2025-09-19 09:38:48.453,PROTOCOLO_USER
66,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ COLUMN_NAME, DATA_TYPE, NULLABLE FROM USER_TAB_COLUMNS WHERE TABLE_NAME = 'SETORES' ORDER BY COLUMN_ID",2025-09-19 09:38:53.161,PROTOCOLO_USER,2025-09-19 09:38:53.161,PROTOCOLO_USER
67,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, CODIGO_SETOR, NOME_SETOR, ORGAO, SETOR, LOTACAO, CIDADE, TELEFONE, EMAIL, ATIVO FROM SETORES ORDER BY ID",2025-09-19 09:38:58.091,PROTOCOLO_USER,2025-09-19 09:38:58.091,PROTOCOLO_USER
68,Trae AI,claude-sonnet-4,tool,run-sql,"INSERT INTO SETORES (CODIGO_SETOR, NOME_SETOR, ORGAO, SETOR, LOTACAO, DESCRICAO, ATIVO, CREATED_AT, UPDATED_AT) VALUES ('AUD-001', 'Auditoria', 'SECRETARIA DA FAZENDA', 'AUDITORIA FISCAL', 'SEDE - ANDAR 6', 'Setor responsável por auditoria fiscal e controle interno', 1, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP)",2025-09-19 09:40:03.840,PROTOCOLO_USER,2025-09-19 09:40:03.840,PROTOCOLO_USER
69,Trae AI,claude-sonnet-4,tool,run-sql,"INSERT INTO SETORES (CODIGO_SETOR, NOME_SETOR, ORGAO, SETOR, LOTACAO, DESCRICAO, ATIVO, CREATED_AT, UPDATED_AT) VALUES ('ARR-001', 'Arrecadação', 'SECRETARIA DA FAZENDA', 'ARRECADAÇÃO E COBRANÇA', 'SEDE - ANDAR 7', 'Setor responsável por arrecadação de tributos e cobrança', 1, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP)",2025-09-19 09:40:09.865,PROTOCOLO_USER,2025-09-19 09:40:09.865,PROTOCOLO_USER
70,Trae AI,claude-sonnet-4,tool,run-sql,"INSERT INTO SETORES (CODIGO_SETOR, NOME_SETOR, ORGAO, SETOR, LOTACAO, DESCRICAO, ATIVO, CREATED_AT, UPDATED_AT) VALUES ('FISC-001', 'Fiscalização', 'SECRETARIA DA FAZENDA', 'FISCALIZAÇÃO TRIBUTÁRIA', 'SEDE - ANDAR 8', 'Setor responsável por fiscalização tributária e controle', 1, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP)",2025-09-19 09:40:14.770,PROTOCOLO_USER,2025-09-19 09:40:14.770,PROTOCOLO_USER
71,Trae AI,claude-sonnet-4,tool,run-sql,"INSERT INTO SETORES (CODIGO_SETOR, NOME_SETOR, ORGAO, SETOR, LOTACAO, DESCRICAO, ATIVO, CREATED_AT, UPDATED_AT) VALUES ('PLAN-001', 'Planejamento', 'SECRETARIA DA FAZENDA', 'PLANEJAMENTO ESTRATÉGICO', 'SEDE - ANDAR 9', 'Setor responsável por planejamento estratégico e orçamento', 1, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP)",2025-09-19 09:40:19.881,PROTOCOLO_USER,2025-09-19 09:40:19.881,PROTOCOLO_USER
12,Trae AI,claude-sonnet-4,tool,connect,"Connect to PROTOCOLO_USER",2025-09-19 08:45:44.262,PROTOCOLO_USER,2025-09-19 08:45:44.262,PROTOCOLO_USER
13,Trae AI,claude-sonnet-4,tool,run-sql,"ALTER /* LLM in use is claude-sonnet-4 */ TABLE USUARIOS ADD (MATRICULA VARCHAR2(8), VINCULO_FUNCIONAL VARCHAR2(2))",2025-09-19 08:45:50.225,PROTOCOLO_USER,2025-09-19 08:45:50.225,PROTOCOLO_USER
14,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NOME FROM USUARIOS ORDER BY ID",2025-09-19 08:45:53.812,PROTOCOLO_USER,2025-09-19 08:45:53.812,PROTOCOLO_USER
15,Trae AI,claude-sonnet-4,tool,run-sql,"DESCRIBE /* LLM in use is claude-sonnet-4 */ USUARIOS",2025-09-19 08:45:57.244,PROTOCOLO_USER,2025-09-19 08:45:57.244,PROTOCOLO_USER
16,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ COLUMN_NAME, DATA_TYPE FROM USER_TAB_COLUMNS WHERE TABLE_NAME = 'USUARIOS' ORDER BY COLUMN_ID",2025-09-19 08:46:01.434,PROTOCOLO_USER,2025-09-19 08:46:01.434,PROTOCOLO_USER
17,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL FROM USUARIOS ORDER BY ID",2025-09-19 08:46:05.659,PROTOCOLO_USER,2025-09-19 08:46:05.659,PROTOCOLO_USER
18,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE /* LLM in use is claude-sonnet-4 */ USUARIOS SET MATRICULA = '12345678', VINCULO_FUNCIONAL = '01' WHERE ID = 1",2025-09-19 08:46:09.552,PROTOCOLO_USER,2025-09-19 08:46:09.552,PROTOCOLO_USER
19,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE /* LLM in use is claude-sonnet-4 */ USUARIOS SET MATRICULA = CASE ID WHEN 23 THEN '23456789' WHEN 24 THEN '34567890' WHEN 25 THEN '45678901' WHEN 26 THEN '56789012' WHEN 27 THEN '67890123' WHEN 28 THEN '78901234' WHEN 29 THEN '89012345' WHEN 30 THEN '90123456' END, VINCULO_FUNCIONAL = CASE ID WHEN 23 THEN '02' WHEN 24 THEN '01' WHEN 25 THEN '03' WHEN 26 THEN '02' WHEN 27 THEN '01' WHEN 28 THEN '04' WHEN 29 THEN '02' WHEN 30 THEN '03' END WHERE ID IN (23, 24, 25, 26, 27, 28, 29, 30)",2025-09-19 08:46:16.145,PROTOCOLO_USER,2025-09-19 08:46:16.145,PROTOCOLO_USER
20,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, MATRICULA, VINCULO_FUNCIONAL, MATRICULA || '-' || VINCULO_FUNCIONAL AS MATRICULA_COMPLETA FROM USUARIOS ORDER BY ID",2025-09-19 08:46:20.349,PROTOCOLO_USER,2025-09-19 08:46:20.349,PROTOCOLO_USER
21,Trae AI,claude-sonnet-4,tool,run-sql,"COMMIT /* LLM in use is claude-sonnet-4 */",2025-09-19 08:46:23.648,PROTOCOLO_USER,2025-09-19 08:46:23.648,PROTOCOLO_USER
22,Trae AI,claude-sonnet-4,tool,run-sqlcl,"COMMIT",2025-09-19 08:46:27.727,PROTOCOLO_USER,2025-09-19 08:46:27.727,PROTOCOLO_USER
23,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, MATRICULA, VINCULO_FUNCIONAL FROM USUARIOS WHERE ID IN (1, 23, 24, 25) ORDER BY ID",2025-09-19 08:49:35.136,PROTOCOLO_USER,2025-09-19 08:49:35.136,PROTOCOLO_USER
24,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ COLUMN_NAME, DATA_TYPE FROM USER_TAB_COLUMNS WHERE TABLE_NAME = 'USUARIOS' AND (COLUMN_NAME = 'MATRICULA' OR COLUMN_NAME = 'VINCULO_FUNCIONAL') ORDER BY COLUMN_NAME",2025-09-19 08:50:19.249,PROTOCOLO_USER,2025-09-19 08:50:19.249,PROTOCOLO_USER
25,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NOME, EMAIL, CARGO FROM USUARIOS WHERE ROWNUM <= 5",2025-09-19 08:52:14.097,PROTOCOLO_USER,2025-09-19 08:52:14.097,PROTOCOLO_USER
26,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ column_name FROM user_tab_columns WHERE table_name = 'USUARIOS' ORDER BY column_name",2025-09-19 08:52:19.254,PROTOCOLO_USER,2025-09-19 08:52:19.254,PROTOCOLO_USER
27,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, ROLE, MATRICULA, VINCULO_FUNCIONAL FROM USUARIOS WHERE ROWNUM <= 5",2025-09-19 08:52:24.018,PROTOCOLO_USER,2025-09-19 08:52:24.018,PROTOCOLO_USER
28,Trae AI,claude-sonnet-4,tool,run-sql,"UPDATE /* LLM in use is claude-sonnet-4 */ USUARIOS SET IS_ACTIVE = 1 WHERE EMAIL = 'admin_protocolo@sefaz.to.gov.br'",2025-09-19 08:52:37.350,PROTOCOLO_USER,2025-09-19 08:52:37.350,PROTOCOLO_USER
29,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, IS_ACTIVE FROM USUARIOS WHERE EMAIL = 'admin_protocolo@sefaz.to.gov.br'",2025-09-19 08:52:47.090,PROTOCOLO_USER,2025-09-19 08:52:47.090,PROTOCOLO_USER
1,Trae AI,Claude 4 Sonnet,tool,connect,"Connect to PROTOCOLO_USER",2025-09-19 08:17:09.513,PROTOCOLO_USER,2025-09-19 08:17:09.513,PROTOCOLO_USER
2,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ table_name FROM user_tables ORDER BY table_name",2025-09-19 08:17:15.371,PROTOCOLO_USER,2025-09-19 08:17:15.371,PROTOCOLO_USER
3,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ ut.table_name, utc.comments, ut.num_rows FROM user_tables ut LEFT JOIN user_tab_comments utc ON ut.table_name = utc.table_name ORDER BY ut.table_name",2025-09-19 08:17:20.654,PROTOCOLO_USER,2025-09-19 08:17:20.654,PROTOCOLO_USER
4,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ COUNT(*) as total_usuarios FROM usuarios",2025-09-19 08:18:11.512,PROTOCOLO_USER,2025-09-19 08:18:11.512,PROTOCOLO_USER
5,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ id, nome, email, cpf, ativo, data_criacao FROM usuarios ORDER BY id",2025-09-19 08:18:16.175,PROTOCOLO_USER,2025-09-19 08:18:16.175,PROTOCOLO_USER
6,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ column_name, data_type, nullable FROM user_tab_columns WHERE table_name = 'USUARIOS' ORDER BY column_id",2025-09-19 08:18:19.731,PROTOCOLO_USER,2025-09-19 08:18:19.731,PROTOCOLO_USER
7,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ id, name, email, role, department, phone, is_active, created_at FROM usuarios ORDER BY id",2025-09-19 08:18:23.166,PROTOCOLO_USER,2025-09-19 08:18:23.166,PROTOCOLO_USER
8,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ COUNT(*) as total_encomendas FROM encomendas",2025-09-19 08:20:33.470,PROTOCOLO_USER,2025-09-19 08:20:33.470,PROTOCOLO_USER
9,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ * FROM encomendas",2025-09-19 08:20:37.060,PROTOCOLO_USER,2025-09-19 08:20:37.060,PROTOCOLO_USER
10,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ column_name, data_type, nullable FROM user_tab_columns WHERE table_name = 'SETORES' ORDER BY column_id",2025-09-19 08:30:45.347,PROTOCOLO_USER,2025-09-19 08:30:45.347,PROTOCOLO_USER
11,Trae AI,Claude 4 Sonnet,tool,run-sql,"SELECT /* LLM in use is Claude 4 Sonnet */ id, nome_setor, logradouro, numero, complemento, bairro, cidade, estado, cep FROM setores",2025-09-19 08:30:49.701,PROTOCOLO_USER,2025-09-19 08:30:49.701,PROTOCOLO_USER
30,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, PASSWORD_HASH, LENGTH(PASSWORD_HASH) AS SENHA_LENGTH FROM USUARIOS WHERE EMAIL = 'admin_protocolo@sefaz.to.gov.br'",2025-09-19 08:52:52.046,PROTOCOLO_USER,2025-09-19 08:52:52.046,PROTOCOLO_USER
31,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, IS_ACTIVE, TYPEOF(IS_ACTIVE) AS TIPO_IS_ACTIVE FROM USUARIOS WHERE EMAIL = 'admin_protocolo@sefaz.to.gov.br'",2025-09-19 08:53:08.191,PROTOCOLO_USER,2025-09-19 08:53:08.191,PROTOCOLO_USER
32,Trae AI,claude-sonnet-4,tool,run-sql,"SELECT /* LLM in use is claude-sonnet-4 */ ID, NAME, EMAIL, IS_ACTIVE, CASE WHEN IS_ACTIVE = 1 THEN 'TRUE' ELSE 'FALSE' END AS ATIVO_CHECK FROM USUARIOS WHERE EMAIL = 'admin_protocolo@sefaz.to.gov.br'",2025-09-19 08:53:12.672,PROTOCOLO_USER,2025-09-19 08:53:12.672,PROTOCOLO_USER
